"Part, Time",Transcript,Work Flow,Operation Description,Operation Commands
11:25,"Create a new texture by clicking on the New texture dropdown menu.  By default, the texture is automatically set to clouds.",13,Add a Texture modifier,Object Properties window -> Object Texture tab -> Add a New Texture -> (Defaults to Type: Clouds)
,"**NOTE NOT IN VIDEO** if the plane surface does not automatically appear displaced after this process, it's likely because you're still in Edit mode.  Press TAB to change from Edit mode to Object mode.",,,
11:45,"To change the texture type from clouds to our DEM, we need to change the texture Type.  Click the Type pulldown menu where the default is currently clouds, and change it to Imager or Movie",14,Change Texture modifier from Clouds to Image (aka. DEM),"In Object Texture tab, click [texture] Type: dropdown -> Image or Movie"
11:55,"To define the location of the image, or in our case DEM, to be used, go down the Texture properties pain to the Image group, and click on the Open file button.  In the file browser window which opens up, navigate to your DEM, then click Open Image in the upper-right corner. The broswer window will close, and the terrain surface will have changed to your DEM",15,Set new Image texture to your DEM,"In Object Texture tab, expand the Image group, and click Open.  In the file broswer window which appears, navigate to your DEM, select it, and click Open Image button."
,"**NOTE NOT IN THE VIDEO** if your image file (TIFF, JPG, PNG) does not conform the requirements states in Part 1, namely that your DEM contains only positive interger values (not floating point values, and that the image file type is either 8-bit, or 16-bits, it will not load.  No error messages are thrown to inform you of this, but you will know becuase the terrain surface will not appear displaced, and will instead be a flat plane again.",,,
12:45,"Once loaded, the raster dimensions and file type can be confirmed under the Source heading under the Texture properties menu. If the DEM file changes (but the file location and name remain the same) the contents of the new file can be loaded into Blender by pressing the refresh button.",,,
12:50,"Need to change the Extension property from the dropdown menu in the Image Mapping group.  The default is Repeat, and it needs to be changed to Extend.  This tells Blender not to repeat (e.g. tile) the displacement along the outer edges of the plane, rather just extend the DEM displacement to the edge of the plane and nothing more.",16,"Change Extension property, which determines how edges of plane are dealt with",In Object Texture tab -> expand Image Mapping group -> Extension: dropdown [default is Repeat] -> Extend
13:50,Changing the vertical exaggeration strength,,,
14:05,"Navigate to the Object Modifer menu tab (wrench icon), and locate the Strength property (lower-right corner).  This property control the vertical exaggeration.",17,Change vertical exaggeration Strength property,Object Properties window -> Object Modifier tab -> Strength propery
14:45,"If Blender's performance slows down because it's having to use a lot of processing power to show terrain, dispalcement by toggling off the Display Modifier [Displacement] in Realtime property, which is done by clicking the eye icon in the Modifier property menu.",,,
15:30,"Even with the Display Modifier in Realtime property set to off, the terrain will still render with displacement when the Render -> Render Image operation is performed",,,
16:10,Improving the appearance of the raster by changing the type of shading,,,
16:15,"Select the plane object, and under the Object Tools menu on the left-hand side, set the Shading type to Smooth, which eliminates the finely distributed sharp angles of the terrain surface",18,Change plane surface Shading type to Smooth,(with the scene in Object Mode) From the Tools tab (right-hand panel on the screen) -> expand Edit -> Shading: Smooth
16:40,"Blender provides lots of controls about the material which the surface is made of, such as velvet fabric, or metal, or glass.",,,
16:50,"Change the plane's material properties by selecting the Material properties tab in the Object Properties menu, which is a circular icon next to the red-and-white checkerboard icon, which was the Texture property tab.",,,
17:00,"On the Material property tab, you can change the color of the terrain surface and the surface roughness.  To change the color, locate the Color property menu under the Surface group.",,Choose the Color of the plane surface,Object Properties window -> Object Materials tab -> expand Surface -> Color: property
,"**NOTE NOT IN THE VIDEO** if your rendering engine is set to the default of Blender Render, the Material property tab will show different options than what's shown in the video.  To follow along with the tutorial, make sure the Cycles Rederer rendering engine is currently selected.",,,
17:20,"The surface Roughness property controls how glossy or matte the surface appears, base on the way the surfaces reflect light.  Users should play around with this setting to find one that's optimal for their use.  The demo uses 0.7.",19,Set the plane surface Roughness property,Object Properties window -> Object Materials tab -> Roughness: property
,,,,
"YouTube Video, Part 4",The Camera,,,
0:09,"To view the scene through the camera lens, press 0 (zero)  on the numeric key pad",,Change view to/from Camera Lens perspective,Press 0 on numeric keypad.
0:40,"Pressing the non-numeric keypad 0 (zero) will hide all layers (plane mesh).  To undo this, go to the View menu, in the lower left hand corner of the screen, and click Show All Layers",,,
1:15,Setting up the Camera object to photograph the plane from an overhead (nadir) view,,,
1:30,Change Camera location the same way you do the Plane mesh location,20,Align the Camera over the plane,"Select Camera Object, then click Object Properties tab -> Transform: Location -> set X=0, Y=0, Z=3"
2:10,"Change the Camera by changing the Rotation properties, so that it is looking directly down on the plane",,, 
2:55,Change camera frame's Aspect Ratio to match the terrain,,,
3:08,The camera's Aspect Ratio is controlled through the render settings in the Render menu tab (still camera icon),,,
3:25,"the Resolution property controls the output size of our final rendered relief, and it needs to be changed to roughly match the Aspect Ratio of the DEM",21,Change Aspect Ratio of Camera to match Aspect Ratio of DEM,"Select Camera Object, then click Render Properties tab -> expand Dimensions menu -> set Resolution: property, X=1000, Y=1400"
4:10,A general rule of thumb is that the Rederer's Resolution property should be less than or equal to the number of subdivisons of the plane,,,
4:50,"If the area of the DEM (which equates to the number of pixels) exceeds the number of subdivisions which the computer hardware can support, then the rendering process needs to be tiled into small manageable pieces which can busequently be mosaiced back together.",,,
5:30,"The ""Percentage scale for render resolution"" impacts the final resolution of the rendered image, so if you want an output render image which matches the X and Y coordinates of the previous Aspect Ratio, then the Percentage needs to be changed to 100%",22,Change Resolution Percentage Scale to 100%,"Select Camera Object, then click Render Properties tab -> expand Dimensions menu -> set Percentage Scale for Render Resolution property to 100%"
6:00,"Describing the need for the orthographic view so that all parts of the surface are seen from the top down perspective, not just the center of the surface.",,,
6:35,"Change the camera lens to Orthographic, by selecting the Camera object, then selecting the Object Properties tab, which is the old-timey looking video camera icon, and selecting the Orthographic Lens",23,Change the camera lens settings to Orthographic,"Select Camera Object, then click Object Properties tab (Old time video camera icon)-> expand Dimensions menu -> set Percentage Scale for Render Resolution property to 100%"
7:20,"Change the camera size to match the terrain size by changing the Orthographic scale, essentailly using the camera to zoom in on the terrain",24,Change the Orthographic scale to be 2x the length of the largest side of the dimensions of the Plane,"Select Camera Object, then click Object Properties tab (Old time video camera icon)-> expand Dimensions menu -> set Orthographic scale to 2.8 (2 x Larger side dimension of plane)"
,,,,
"YouTube Video, Part 5",The Sun,,,
0:10,Blender calls a light source a Lamp,,,
0:30,Right-click the Lamp to select it.,,,
0:38,The Lamp properites tab is represented by a light source with 4 arrows pointing out from it.,,,
0:45,"The propertise for the Lamp show that it is a Point light source, which means it is pointing light in all directions, like a light bukf from one spot.",,,
1:00,Change the type of Lamp from Point to Sun,25,Change the type of Lamp from Point to Sun,"Select the Lamp Object, then click on the Lamp properties tab -> expand Lamp type -> change from Point to Sun"
1:10,Describing the difference between Point and Sun types of light source.  Sun light rays all hit the surface of the earth essentially parrallel to each other.,,,
1:35,"Change the angle which the light rays strike the surface of the earth by changing the Lamp object's Rotation [property], which are found within the Object Properties tab",,,
1:55,We can ignore the Location of the Lamp object is within the scene because Blender applies the same amount of light to all areas of the scene for Lamp's with the Sun type.,,,
2:12,"Change Lamp objects Rotation property to X=0, Y=45, and Z= 135",26,Change the angle of the rays from which the Sun lamp object hits the terrain,"Select the Lamp Object, then click Object Properties tab -> expand Location -> Rotation: (properties) -> X=0, Y=45, Z= 135"
2:35,"Understanding what the lamp Rotation property settings mean, and why the location of the lamp in the scene doesn't matter.  The lamp's Rotation property Z-value should always be 135 (from the top-left of the scene), unless there is a good reason to change it, as extensive cartographic research has shown that map users mis-interpret terrain features if lit from other locations than 135.",,,
3:55,"The Y rotation parameter controls essentially how high the Sun is in the sky, or the time of day effect.  Settings close to 0 are essentially vertical (or high-noon), where as 75 is an angle closer to the horizon like at sunrise or sunset, but it's usually kept at 45 unless there is good reason to change it.",,,
5:20,"Additional Lamp settings need to be changed: it's size and strength, which are done in the Lamp properties tab.",,,
5:38,The Size [property] of the Lamp controls how strong the shadows are in your final render,,,
6:20,"Change the Size [property] of the Lamp to 1, which is usually a reliable setting.",27,Change the Size property of the Lamp to 1,"Select the Lamp Object, then click on the Lamp properties tab -> expand Lamp -> Size: property = 1"
6:45,Final setting to adjust is the sun's Strength setting.,,,
6:58,"To get the lamp Strength property to appear in the menu pane, select Use Nodes, then enter 2 into the Stregth property.  Explor Lamp strength, with typical settings ranging from 1 to 3",28,Change the Strength property of the Lamp,"Select the Lamp Object, then click on the Lamp properties tab -> expand Nodes -> Use Nodes -> Strength: property = 2"
,,,,
"YouTube Video, Part 6",Final Odds and Ends,,,
0:05,Improving the output image by adjusting the render quality,,,
0:28,"Navigate to Render settings, and increse Sampling's Render property from 10 to 70.  Note that final renders are typically done at a setting between 150 & 200, which ensures smooth colors.",29,Navigate to renderer Samples property and increase Sampling's Render property,Select the Rederer properties tab -> expand Sampling -> increase Samples: Render = 70
1:38,"Incresing the quality of the renderer increases the amount of processing time used by the computer.  A best practice for making efficient use of time is to keep the Sampling's Render property low when frequently changing and rendering scenes, such as adjusting the strength of the sun lamp or adjusting the amount of displacement, then increasing rendering quality to its highest only once all of the necessary paramaters have been set.",30,"Note that for rendering the final images, a render setting of 150-200 is often used",
2:10,"To stop rendering, press ESCAPE",,,
2:15,Change Light Paths property to Limited Global Illumination,31,Change Light Paths property to Limited Global Illumination,"Select the Render properties tab -> expand Light Paths ->  select ""Limited Globall Illumination"" from dropdown menu"
2:41,"What Limited Global Illumination does is adjusts how much light bounces around the scene.  Other settings are available for more complicated 3D scenes, but they do not produce any noticeable improvements when producing a shaded relief surface.",,,
3:45,"Fixing black patches in final rendered scence, which are an artifact of the DEM sampling process, but their exact source is unknown.  There are 3 possible solutions.",,,
4:17,"First solution which minimizes this artifact is to increase the number of subdivisons of the plane, from 500 to 1500 or 2000.",,,
5:15,"The second solution is to do some smoothing. Select the Plane object, and go to the Modifiers property tab (wrench icon).  Add a new Smooth modifier.",32,Add a Smooth modifier to try to eliminate black patch artifacts,Object Properties window -> Object Modifiers tab -> Add Modifer dropdown -> Deform column: Smooth
5:35,"Once a new Smooth modifier is add, increase the Factor property to 1.5",33,Increase the smoothing Factor property to 1.5,Object Properties window -> Object Modifiers tab -> Smooth modifier properties -> smooth Factor property = 1.5
5:48,Increase the smoothing Repeat property to 2,34,Increase the smoothing Repeat property to 2,Object Properties window -> Object Modifiers tab -> Smooth modifier properties -> smooth Repeat property = 2
6:33,The third solution is to do some smoothing of the DEM before loading it into Blender.,,,
7:00,"Change DEM texture used to deform surface to one which has been already smoothed, either in Photoshop using a Gausian Blur or possibly in GIS software.  Once you've created a smoothed DEM, navigate to the Textures property tab (red & which checkered icon), and load the new smoothed DEM image.  Once loaded, make sure to turn off Blender's Smoothing modifier you created in the previous steps.",,,
8:55,"Once you are satisified with your final rendered image, it's necessary to save it as an image file. Navigate to the Image menu located in the bottome left cornder of the screen and select Save as Image",35,"When satisfied with the final rendered image, save the rendered image as a new file",Locate and open the Image menu (lower left corner of screen) -> Save as Image
9:10,"When the file browser window opens, choose location to save the image to, as well as the type of file, and enter a filename for the output file, then click Save As Image",36,"When the file browser window opens, choose location to save the image to, as well as the type of file, and enter a filename for the output file, then click Save As Image",
9:40,"Shaded relieft image processing COMPLETE!  Subsequent shaded relieft images can be processed more quickly than done in this tutorial, as the settings can be saved as a Blender file.  When a new relief image is desired, simlply load Blender file, navigate to Texture property tab, and load the new image data.",,,
